Ticker,Year,NET_INCOME,SALES_REV_TURN,CF_FREE_CASH_FLOW,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_TOP_3_HIGHEST_STK_AW_AMT,2ND_HIGHEST_STK_AWARDS_AMT,2ND_HIGHEST_ALL_OTH_COMP_AMT_AW,3RD_HIGHEST_ALL_OTH_COMP_AMT_AW,2ND_HIGHEST_TOT_COMP_AMT_AW,SUSTAINALYTICS_SOCIAL_PERCENTILE,SUSTAINALYTICS_ENVIRONMENT_PCT,GICS Sector,State,
CDNS,2017,48.5156,482.4024,119.6882,14412945,10748467.5,3387785,5289988,3969688.5,5773738,57.91018582,30.23650144,Information Technology, California,
CPB,2017,217.5,1962.25,227.5,7712078,5847510,1468889,2664196,2441862,3341279,92.61274513,98.46492495,Consumer Staples, New Jersey,
COF,2017,554.6,7425.4,2977.6,32448485.5,20989667.5,5546198,6651629,4913268.5,8257590.5,73.91826541,42.88554448,Financials, Virginia,
CAH,2017,429.4,33152.8,416.8,13161823,10228377,1947561,2959972,2955793,3893019,45.97278367,65.5566168,Health Care, Ohio,
KMX,2017,173.64225,4271.48775,-162.0735,8211316,6929807,1485343,5636084,4349763,6538392,20.10930262,48.71664563,Consumer Discretionary, Virginia,
CCL,2017,651.5,4377.5,594.5,12866280,11841748,2713268,4905985,3336743,5830985,69.4337456,58.38191852,Consumer Discretionary, Florida,
CAT,2017,-83.4,11007.2,861.4,9184218.5,6745642,1890022.5,6830269,5633584.5,7511831.5,53.62843857,64.14613047,Industrials, Illinois,
CBRE,2017,192.5754,3820.6402,199.9502,24080961,15957276,5009945.5,6381625.5,5926999.5,7551625.5,78.15986886,75.15998335,Real Estate, California,
CBS,2017,48.8,3442,216.2,49577098.5,47398458,7463331,10831086,3575443.5,25581086,23.16236097,24.8445864,Consumer Discretionary, New York,
CELG,2017,665.8,3196,1255.66,17225880,11851965.5,4337141,10792285.5,6953690.5,12073577,66.74773127,86.48353684,Health Care, New Jersey,
CNC,2017,217.8,12058.6,512.8,23112635,20305350,3201100,4844604.5,4307215,5507104.5,27.2733406,19.75855941,Health Care, Missouri,
CNP,2017,378.6,2339,20.4,8915175.5,7327662.5,1950010,1991922,1643663,2632547,34.85906877,3.35132332,Utilities, Texas,
CTL,2017,286.2,4389,179.4,25457084.5,19799236,4969424,5427352.5,4987113,7733060.5,26.82967013,36.31117937,Telecommunication Services, Louisiana,
CERN,2017,203.3338,1280.0182,230.393,8998336.5,7385949,2461983,5754174.5,5735324.5,6415472.5,8.975147388,27.76057805,Health Care, Missouri,
CF,2017,7.6,999.4,158.4,4678739,3766183.5,730241,2055974.5,1581417.5,2680974.5,2.868312061,1.901431042,Materials, Illinois,
SCHW,2017,575.2,2195.4,246.8,8387500,6637500,1575000,6289606.5,4547780,6831273,39.72700845,30.84702696,Financials, California,
CHTR,2017,2069.8,10371.2,922.2,13278490.5,10798885.5,3504769,24686947,15164216.5,26162428,18.24891621,9.742347202,Consumer Discretionary, Connecticut,
CVX,2017,1922,31186,1372.6,19359219.5,14998270.5,3394682,9421267,8989459,10543000.5,67.24246517,36.90611457,Energy, California,
CMG,2017,38.4456,1102.1944,69.082,25431211.5,25431211.5,9099375,9264128,4818667,10342210,23.75537357,47.06637545,Consumer Discretionary, Colorado,
CB,2017,1094.2,8082.2,1191.6,22064406.5,18298859.5,4218755,5508293.5,4782112,8917988.5,6.548077157,40.5713852,Financials, Switzerland,
CHD,2017,170.76,934.44,155.02,1110000,1110000,360000,1520732.5,1296410.5,2012540,33.22547018,22.84237502,Consumer Staples, New Jersey,
CI,2017,523.8,10270.6,872.6,12636730,9610175,1564269,4143912,3478773.5,4836219.5,80.02181308,81.87070638,Health Care, Connecticut,
XEC,2017,108.4224,460.2106,-42.1078,22850000,16525000,3700000,4707472,4449417,5297985.5,19.43785113,3.845231149,Energy, Colorado,
CINF,2017,229,1408.8,262.4,2608256.5,1843775,538832,2561402.5,1928462,3465951.5,4.416216154,37.03898534,Financials, Ohio,
CTAS,2017,139.1405,1500.8995,147.64125,9904983,9202242,2508902,3016236,1415005,3679521,70.9176232,22.1682503,Industrials, Ohio,
CSCO,2017,2420.25,11947.25,3342.25,36791272,26229041,7084573,8069221,6690788,8804221,92.96879978,84.27872356,Information Technology, California,
C,2017,-645,21700.2,1218,30188491.5,21868437.5,8277063.5,8953818.5,7971801.5,15305432,58.17730196,90.84350854,Financials, New York,
CFG,2017,386.8,1590.6,365.6,11272942.5,9440720,2987106,3555315.5,2251213,5638445.5,5.404867454,10.45507184,Financials, Rhode Island,
CTXS,2017,35.8262,711.854,213.5308,37839593.5,27367881.5,6370165,7373107.5,6626226.5,8162274.5,81.00240637,54.29169358,Information Technology, Florida,
CLX,2017,189.4,1489.2,151.8,4950365,3825322,750534,2186056,1889828,2787402,33.15742229,74.75712693,Consumer Staples, California,
CME,2017,887.36,911.52,448.14,16664372.5,11628374,3433969.5,5818024,3887998,6793024,41.39186874,34.50664768,Financials, Illinois,
CMS,2017,107.4,1644.6,-31,9995287.5,7545620.5,1509975.5,2967850,2418340,3655350,85.39960841,81.9957154,Utilities, Michigan,
KO,2017,359.6,8963.8,1333.6,21758837.5,14604889,4499577,8592574,6330505.5,9642970,75.82856207,56.49284221,Consumer Staples, Georgia,
CTSH,2017,384,3654.4,528,25372916,19002623.5,5449898,5923977.5,5066163.5,6501771,81.52943833,82.58125567,Information Technology, New Jersey,
CL,2017,526,3835,624.8,7652789,5948024,1148002.5,5675854,4746481.5,6560698.5,30.50862181,85.03091112,Consumer Staples, New York,
CMCSA,2017,5003.4,21135,2959.2,27411822,17615279,5343192,29683319.5,23906747,32741857.5,74.48224381,48.88871625,Consumer Discretionary, Pennsylvania,
CMA,2017,181.4,808,221.4,6292571.5,4910365.5,995353,2281410,1852187,2990698.5,49.74401464,57.48272544,Financials, Texas,
CAG,2017,176.75,1955.125,201.7,9517929,7444457,1631211,2568660,2545417,3235535,20.74862189,38.74515281,Consumer Staples, Illinois,
CXO,2017,166.2,646.6,-280.223,21543667,15763516.5,4109615,4211383,3626948,5801945.5,13.04823571,7.8374742,Energy, Texas,
COP,2017,-178,7183,586,17550232.5,12984707.5,3206664,8497943.5,7813036,9707543.5,82.60511166,72.71477094,Energy, Texas,
ED,2017,346.4,2948,77.8,11537710.5,9624546,2191943.5,3201268,2527213.5,4008555.5,13.45237571,56.76283382,Utilities, New York,
STZ,2017,461.35,1861.775,181.825,5048142,4239473,814077,6692893,2410220,7977742,27.58575222,14.04488773,Consumer Staples, New York,
COO,2017,93.225,534.75,136.525,2690091,1877981,507998,2103695,2037443,2741597,34.95336055,2.394547003,Health Care, California,
GLW,2017,215,2518.4,262.2,4087491,3149992.5,562498,5143610,3622463.5,5861965.5,36.90930617,41.62059175,Information Technology, New York,
COST,2017,693.5,33183.75,821,22706351,14010155,5533799,5714707,3166592,6469701,19.06314454,34.36283128,Consumer Staples, Washington,
COTY,2017,-66.54,2289.2,100.5,8515280,6518169,2005590,7652232,5996427,8078094,9.407114625,12.50988142,Consumer Staples, New York,
CCI,2017,113.8244,1077.6158,206.0564,20630254.5,15004027,4669260,5773498,4093399.5,6338435.5,36.2739675,23.68599806,Real Estate, Texas,
CSX,2017,1367.75,2852,358,19481924,13529946,2437695,14025253,10381480,14582945,36.30671908,68.94600092,Industrials, Florida,
CMI,2017,275.4,4986.2,435.4,5120161,4223401,934661.5,4428225,4193995,5276225,86.30138128,65.65217296,Industrials, Indiana,
CVS,2017,1665.8,46147.2,1518.6,9187333.5,7062376.5,2124957,6765269,4230775,7756935.5,48.5356127,46.45050562,Consumer Staples, Rhode Island,
DHI,2017,245.52,3484.74,32.7,15609546,13932663,3905374,9705953,3424319,10405953,22.74968621,12.08983324,Consumer Discretionary, Texas,
DHR,2017,647.82,4582.8,667.94,11882818.5,8884471,2168293,5625276.5,5008179.5,6509193,56.01216014,35.35393753,Health Care, D.C.,
DRI,2017,123.275,1907.725,141.65,6023163,5185989,1897014,3235047,1997845,3860047,11.4171763,69.0650874,Consumer Discretionary, Florida,
DVA,2017,164.2688,3182.3782,246.0666,7053283.5,6754070,979475.5,7686274,2415579.5,8568966.5,57.1725324,69.59402409,Health Care, Colorado,
DE,2017,539.9,7434.425,-95.3,9978276,7728908,1124684,4042791,3708163,4696033,61.74406903,76.19615197,Industrials, Illinois,
DAL,2017,831.4,10131,311.4,23059259.5,16054336,5010237,7443380.5,6469272.5,8058379,77.81534962,60.78393996,Industrials, Georgia,
XRAY,2017,-288.6,997.98,126.8,10878387,7093390,2331667.5,4999543,2524451,5735112,59.84971554,51.83115526,Health Care, Pennsylvania,
DVN,2017,269.2,3366.4,-3,15426544.5,11206530,2620927.5,7960942.5,6508649.5,8513971.5,56.78261752,44.51859796,Energy, Oklahoma,
DLR,2017,68.6668,606.943,-105.353,13274684,9937330.5,1849977.5,2742647,2634194,3307200.5,34.59690656,76.28551517,Real Estate, California,
DFS,2017,532.4,2853.8,1247,16900163.5,12375102.5,3350026,4529217,3629769.5,5329217,62.32692854,48.48004801,Financials, Illinois,
DISCA,2017,-6.6,1709,404.2,21751361.85,21064085.35,4589256.847,10267299.62,5903012.5,11972376.04,22.14299797,20.31887102,Consumer Discretionary, Maryland,
DISCK,2017,-6.6,1709,404.2,21751361.85,21064085.35,4589256.847,10267299.62,5903012.5,11972376.04,22.14299797,20.31887102,Consumer Discretionary, Maryland,
DISH,2017,490.8364,3628.828,573.223,226148,216564.5,3194.5,2388961.5,1588702.5,2967535,10.31350115,19.74112585,Consumer Discretionary, Colorado,
DG,2017,310.24525,5837.6955,245.1235,5503294,3591616,637226,1701290,1682622,2351026,44.15210936,23.33431478,Consumer Discretionary, Tennessee,
DLTR,2017,249,5380.05,260.9,17764322,15314549,6499865,8539751,6000955,9660905,38.28623457,46.11282496,Consumer Discretionary, Virginia,
D,2017,691.2,3134.4,-352.6,8041501,7197392.5,1359594,4525154,2960548,5387960,48.54057101,17.88000346,Utilities, Virginia,
DOV,2017,194.5654,1921.6794,172.8832,5069880,3969914,769975,2049028.5,1817553,3450372,32.35455995,69.34281369,Industrials, Illinois,
DPS,2017,248.2,1653.6,204.8,9341610,7287225,1251409.5,2348414,2251609.5,2961827.5,69.15257938,37.74532792,Consumer Staples, Texas,
DTE,2017,253,3096.2,-101.2,15045938.5,11917961,2097248.5,3972420,3798862,4667520,66.97587805,37.78593693,Utilities, Michigan,
DRE,2017,336.4372,192.416,-313.4952,6068254,4904608.5,1130833.5,2231718,1793924,2501765.5,37.30586968,30.76033973,Real Estate, Indiana,
DUK,2017,566.4,5828.4,-580.8,21780039.5,18530914,3130136,4207450,3338305.5,4966825,58.54796562,8.484832524,Utilities, North Carolina,
ETFC,2017,148.2,596.6,459.8,13165508.5,10413083,3199975,6357672.5,3487069.5,6874788,49.94500344,8.867835051,Financials, New York,
EMN,2017,302.4,2347.4,229.4,15524873,12339138.5,2527500,3997088,3958096.5,4663786.5,42.18346867,61.99062927,Materials, Tennessee,
ETN,2017,697.2,5054.2,525.8,20412701,15322516,4971380.5,9846800,6064613.5,10820044.5,75.1932614,74.55863421,Industrials, Ireland,
EBAY,2017,984,2409.6,592.8,34740098,26832997.5,7068021,7633409.5,7226952,8469041,78.90300953,85.90189466,Information Technology, California,
ECL,2017,375.04,3438.24,301.08,7923240.5,6731253.5,993426.5,3277732,2814691,3917732,40.25107956,60.50081528,Materials, Minnesota,
EIX,2017,213,3040.8,-46.2,5897663.5,4541791.5,1098492.5,3514774.5,2524439.5,4228838.5,19.46236093,36.15297663,Utilities, California,
EW,2017,148.42,840.6,194.1,6237833.5,4741495,795517.5,2495558,2462014,3045162,87.47365632,89.67161677,Health Care, California,
EA,2017,200.2,1248.8,496,36338054,31723769,9805485,10984366,6400680,11595657,23.64297357,40.74860276,Information Technology, California,
EMR,2017,382,3816,357.4,20630000,14441000,3610250,4256620,3380671,6096620,51.5417724,22.39811274,Industrials, Missouri,
ETR,2017,-268.0374,2744.6018,-334.3792,11068177.5,7895760,2157776.5,3565274,2851569.5,4415163,44.96370022,58.88100949,Utilities, Louisiana,
EVHC,2017,-72.7,1802.36,124.3434,23564500,20024000,5212000,5692745.5,1946946,7127811,13.80748716,20.68124668,Health Care, Tennessee,
EOG,2017,488.0454,2728.7884,40.9868,18455433,14382037,5384018.5,7684818,3174391.5,8528568,30.38452771,29.58253831,Energy, Texas,
EQT,2017,263.3142,720.9272,-361.507,13701515,9768795,2621614.5,4434863.5,3973203,4886256.5,68.87942175,43.10894031,Energy, Pennsylvania,
EFX,2017,142.06,832.66,166.82,11520745,9649462,1666463,2812924,2237860,3409770.5,6.571390437,7.171966264,Industrials, Georgia,
